obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14
0.27149501110558977,0.14688294909478303,-0.2249242912581063,-0.46164477999158826,-0.7163856418134689,-0.02969436067674905,0.5593513535472574,-0.31051479928445586,0.4376964199927105,0.375406711355051,0.15792971956078017,0.2793827024620606,0.4093525120925348,-0.018320027658707643,-0.5979562027820652
0.2608424060333564,0.04912171429078275,-0.2385540880433435,-0.5483128282095489,-0.7975255641830422,0.028491148565094736,0.4121885489840347,-0.31202294649364437,0.5805952038583962,0.3291204358980017,-0.11893246067901575,0.24964098500116863,0.251442732330848,-0.19660734682674902,-0.4825746284452695
0.3635189218045154,0.26339469446369784,-0.3564152909535014,-0.4526096829158799,-0.736120980986282,-0.13133762238872002,0.4627831710843791,-0.2728681735721519,0.3360744251952255,0.47224586891694126,0.08125726672025194,0.3129347338253822,0.2918826674990297,0.06813628572974162,-0.42802682132541586
0.22694197028023794,0.1191793472121459,-0.24738212308380936,-0.5685703032799084,-1.0094851517091534,-0.04556041790352581,0.7088417957403438,-0.3307959775896756,0.4687420303683756,0.4439905018291518,0.10794455145926152,0.29218639995439705,0.35286253155513625,-0.2741089311223223,-0.5719843170426239
0.24080717914106345,-0.04683464182240414,-0.14429136408224535,-0.6571877763490183,-0.8461948259293818,0.11930134980243834,0.1340963233677266,-0.37270069814346457,0.7135316112363522,0.38152059431309066,0.32222322188516994,0.23779575481090912,0.42164288792311705,-0.7841314698450579,-0.4360644856881471
0.5182416259442961,0.32100033715039145,-0.4044398213225753,-0.2643153754765752,-0.6615202734231865,-0.21040540332721236,0.5732955122833361,-0.26645405457086685,0.2057884979997273,0.3100595850528098,0.07176043490702509,0.3352779044106124,0.1849285572007136,0.4704713546599333,-0.5101337925445768
0.3604792352627828,0.5748923727985791,-0.6488182072467333,0.0316173228414346,-0.7009450396460769,-0.5100337629139485,0.21880941630644749,-0.34627950259783974,0.01878368428210883,0.6287222586386007,-0.2644814111933625,0.46516145992379854,-0.24900260691009807,0.5687727021708138,-0.8398064129867364
0.41498101054471537,0.5654982998440803,-0.6088316702340126,0.04657183325761414,-1.0354144082328252,-0.459523744057199,0.7694670438653962,-0.25144112530772517,0.25302855928572665,0.582609314844894,-0.32180421431110307,0.3686042950143097,-0.020983413226892067,0.6319855919436073,-0.6221350380577879
0.3664570125442982,0.6361213378539124,-0.6784662594660292,0.015862884395809292,-1.1946274829923134,-0.5133860609483536,0.7288537369505327,-0.16338500127622196,0.07346583852137903,0.5359759088852023,-0.24061925120943287,0.44949815045402614,-0.24862638888095723,0.6653096415408941,-0.6815171397161761
0.480947429955035,0.5830708034890466,-0.6213221262041803,0.05274883731941789,-0.9235300269437111,-0.5010868251392427,0.7389356159190004,-0.3335302436828818,0.08684304944948174,0.5177681902220861,-0.4374166374225165,0.48608665926201644,-0.17947145510380388,0.22179885498912152,-0.644625233986494
0.4235264475935249,0.6876886720415093,-0.7522420210939583,0.24256103122462147,-0.7874093326005837,-0.7668690646338869,1.0992501061422835,-0.22831079118916467,-0.06716432524408875,0.5773752728525701,-0.36471560201835446,0.5633815169412495,-0.3839532500692348,0.8933800868406799,-0.7257484347977998
0.29437126270606345,0.5323399794487695,-0.5943104983762386,0.023648733569369255,-0.8853490369396542,-0.4199762541015699,0.5326172167635423,-0.23078949244202204,0.13179265684678,0.617821212162809,-0.24720689267634488,0.45695459313485604,0.03935310609256271,0.6534060763624439,-0.5831677445417943
0.3051458163963196,0.3714951305066757,-0.5041245211179184,-0.27688626221465984,-0.7093624742534935,-0.3714366770451341,0.7178388507408682,-0.27176773046326863,0.29978929163385626,0.3488241829843908,-0.33219208557566315,0.4034455267721755,0.07624506873734015,0.3429152795664354,-0.48238269632466657
0.3425714539434834,0.2796270603401657,-0.45363531607621776,-0.2038317871234743,-0.9092538532826407,-0.27944837154538926,0.5580182974352632,-0.21396310786953227,0.3900291473992859,0.33334315468518116,0.0965643521904788,0.344565113451145,0.25473719430535957,-0.010108713372893272,-0.526018872302996
0.22530286873926647,0.1281091632322864,-0.24389082506873014,-0.5498213793171094,-0.6250470931618728,-0.01076284257081991,0.7490302761351516,-0.25655546185162337,0.6419040271423977,0.37396619858186986,0.08890611490569264,0.2641111586423237,0.20525292182749474,-0.32745210358920873,-0.6070754060448543
0.26141866122736385,0.05302888031984029,-0.18241719376530355,-0.6721473680274939,-0.278388046034254,0.07802448194630407,0.6431642661257042,-0.3175275143637291,0.4812548423636057,0.2975873535193737,-0.2537151993467328,0.2550591629587514,0.32154665924453324,0.0291697116947313,-0.7218949299844253
0.28148362982026404,0.19442762624108237,-0.36056518397845383,-0.5114134875043503,-0.9696257851495388,-0.057536941366357605,0.7739530296644332,-0.3590204280756182,0.40114541705287593,0.41635065486613904,0.033984598517891644,0.2661194773743314,0.16236211081146967,-0.2423076934407697,-0.5118850092202903
0.46919193389981934,0.13523595781105563,-0.3263065920548154,-0.4549912443216592,-0.38569960074491005,0.0415073971658813,0.536525148732171,-0.2906935930347532,0.48630875821455594,0.40207403677921855,0.14282221770872475,0.2604250083145772,0.21772590009454193,-0.13709655001693188,-0.6082307699535228
0.33335207618586826,0.3522359406994663,-0.45152584358571685,-0.24139005395807,-0.8465415189284076,-0.3632129951081792,0.574433974398119,-0.29163724627919757,0.36234371925129893,0.47129180424222045,-0.07818018267628445,0.3290156076930528,0.19725633403663884,0.0603549284254597,-0.725026942419861
0.22289027406003467,0.1280826088310112,-0.28133228755064293,-0.5180905372753758,-0.7681516530200082,-0.004606511844377187,0.6791389145508643,-0.28848899595909866,0.4427091222958651,0.31789888437231884,0.013242470858129837,0.28056787509123976,0.32967026386911463,-0.11074836491724385,-0.6969577440219524
0.20998541318325406,0.21644662836008763,-0.30990316536556967,-0.5564023128128842,-0.7605000313504735,0.03495421770121915,0.5400659651703538,-0.29675236294957474,0.32673864544736847,0.26855880147857836,0.03209298111251653,0.2753771485506696,0.2853859458302392,-0.25365875146381034,-0.4984128652085482
0.38720439529797795,0.1339810844104561,-0.3064497786382439,-0.4619703466595458,-0.44669129419833364,-0.0745815127873621,0.75126125581912,-0.305549490376913,0.4582161923915846,0.5145750527056183,0.22974718288901586,0.25451621704902044,0.2587944656550124,0.048981237533377395,-0.6940287379827741
0.2595529254311579,0.3197006067547731,-0.39207140104358906,-0.26461405290283196,-0.8897252423094762,-0.2766899081479463,0.21791289350012857,-0.21610092522788032,0.2680451865434253,0.3788207247142898,-0.04190809131050149,0.3486562212890081,0.11624710123229759,0.31246126436726473,-0.6626822629632315
0.17603694389034763,0.08147023880632134,-0.22511942408018357,-0.6210227905922595,-0.8624989087178642,-0.0239654281057867,0.6216341060641323,-0.2662476138395712,0.6335737103476274,0.27539338836846633,0.0010928801013209625,0.22729796764708582,0.45754331313781477,-0.24013728212630947,-0.57867900048684
0.22740443220546927,0.11977985220719045,-0.2779308596081175,-0.5642074831057063,-0.848388191916411,-0.11721171034628955,0.5322137283994604,-0.28700245041928235,0.5822797854227847,0.4453519774465127,0.15775792302742947,0.270130735548433,0.32943844834531255,-0.20748823006140696,-0.5119654891212689
0.26151010171767997,0.10968029368732415,-0.3160042201380748,-0.43894627545656617,-0.9591608312319678,-0.06572244260133159,0.8029650213313264,-0.3500151081869241,0.49343526018301803,0.4350588533258863,-0.0905417322339164,0.2894437759069608,0.13322264876320242,-0.10197904815946887,-0.6037010731139685
0.3907445089648087,0.2316143177390351,-0.4088783878285528,-0.5516760970340073,-0.9034571759372269,-0.2219494401982,0.6487019865188834,-0.28052287923477415,0.23482368560304367,0.43068773216532275,-0.056266001937187525,0.3197611857470154,0.12763174907240557,0.28279506429583706,-0.5579582221132228
0.28836598050539275,0.1937234366673935,-0.2833158506204188,-0.4760634687848443,-0.5981276052263942,-0.0607297714510097,0.26556460766266127,-0.2357939931638428,0.5432864893240568,0.28064864671929673,-0.070213101008168,0.25840475300164706,0.12642132995045263,0.021092805637567866,-0.4582387373349567
0.28768640500051396,0.14308300145549185,-0.23996322787402274,-0.5394311485201321,-0.8298682428152784,0.02447115006015945,0.6785993564585887,-0.293634845468891,0.6096459820491662,0.3087478382479349,0.16866704854389425,0.3019104980327842,0.34926435519706406,-0.4076198508981783,-0.5509395518682124
0.2608256835855989,-0.0039047280918336623,-0.1959631668988796,-0.6735075222984601,-0.36092521727614135,0.10530673468507515,0.7277513581038976,-0.41481736370303945,0.6223741639291434,0.40561893210803635,0.30367146145340584,0.22284846127207397,0.481858095814762,-0.04321348692798844,-0.45136853712847147
0.24410102000808528,-0.014259660678792627,-0.08449130516693829,-0.7268675503436359,-1.0410378803713976,0.22739939536527637,0.51880559756543,-0.3262995881271848,0.6152878640825372,0.24689392645941868,-0.019795925538592662,0.25736921943750257,0.3831899664646744,-0.1927296031369776,-0.563245005119294
-0.0029503540142763194,-0.33346947420316786,0.21158777359516825,-0.8047352377589336,-0.11498737717269013,0.4708456886324001,-0.12271878690137122,-0.4929276033551255,0.8446539923171685,0.1578216813917547,0.21557421119590608,0.09851244771924285,0.5247692854352638,-0.8854808685379811,-0.16582982399934065
0.16357887057150597,-0.24583525132045028,0.13933349493044708,-0.8243200234232456,-0.11981079778607902,0.4254426978467654,-0.05639417443000079,-0.4558976697952822,0.9007138402879682,0.21272529799974926,-0.02713873442826306,0.0973284856165444,0.38317608904479494,-0.6090142459096696,-0.3625720571867936
0.1652376688306822,-0.16915831575804838,0.03713971947974901,-0.7998399286069181,-0.14855093946590342,0.3446272817897852,0.28003069198116765,-0.42244426843550703,0.7997422654252748,0.19697518127183625,0.28832766117397957,0.19489286395106917,0.3996705237278722,-0.8773889830392618,-0.4018824341748429
0.057588060127604625,-0.09140327856499948,-0.05460317924445021,-0.8333236789876614,-0.630157309805184,0.20400360423101016,0.21367943374975065,-0.36986137256505575,0.722155258557678,0.295815730926217,-0.0029437350087514755,0.2319456393903209,0.38766126108311333,-0.5005682916431554,-0.41887194381364584
0.16143770791825848,-0.21449707325527861,-0.03697019105984777,-0.7306979940247765,-0.7020865718401927,0.2508615954146454,-0.3320597055029031,-0.41236949652911553,0.6094260570340937,0.28335839635357807,0.12526394525825815,0.13667741090752222,0.48246007043469374,-0.7627364583995052,-0.4896647695253894
0.24948859186992753,-0.36831471655528536,0.14916999586313334,-0.9471545123049199,-0.19103218277017078,0.6183851107952925,-0.5720696747048136,-0.4056320062977682,0.9060497107230273,0.08465752427486158,0.34261919176088984,0.1527215417475372,0.4137372790215312,-0.8080043708765372,-0.4481583258111754
0.21723596467968342,-0.3127933992386955,0.13814301017556613,-0.8672660961619322,-0.06311718928916606,0.5220844358145438,-0.26992491076014863,-0.43966384602462727,1.0930535381121185,0.09985998641140227,0.3617973959350474,0.09913640280143345,0.5470918923937436,-0.7927766545499431,-0.37043276490457566
0.17931000924964186,-0.14793267315886274,0.020069661639888742,-0.8205860275993533,-0.2483623543148787,0.2895550105042304,-0.3887335028293752,-0.46089742783193094,0.7159096867935456,0.31391693343704535,0.44084234341856643,0.12901030429669483,0.46802861350868363,-0.700848695569712,-0.45148094559817603
0.12682108964609404,-0.048507912807791716,-0.11897460329087615,-0.7718554137972437,-0.6288663998728736,0.08882899824798739,0.4223435607143012,-0.3964644550654429,0.7876575472404861,0.3203430843973478,0.2805097899286868,0.1983503474351504,0.5073907546102172,-0.12092320851209512,-0.5635313112048432
0.2132207950677076,-0.10832275890006758,-0.005162449400000481,-0.8262313058317059,-0.1697697533630236,0.34753390795194966,-0.03527160334065136,-0.36927111023958664,0.7507988082836018,0.29401657951452975,0.11271360113585105,0.21263403609587586,0.5212108253701279,-0.5899488167847651,-0.5371596479908923
0.10068364076441251,-0.21401461436743627,0.061904588042451365,-0.8702496557145974,0.13394175131240446,0.43563199447644696,0.06746067884664506,-0.4084324064163688,0.8228742157215263,0.08112361943945008,0.2840741927866142,0.11232946724595132,0.6581644982180732,-0.9849292796385892,-0.46189710172563114
